filename,document,used_in,license
quarterly-summary.pdf,Quarterly Summary,Phone/tablet creative 1,Owned synthetic; generated by this renderer
travel-plan.pdf,Travel Plan,Phone/tablet creative 1,Owned synthetic; generated by this renderer
project-notes.pdf,Project Notes,Phone/tablet creative 1,Owned synthetic; generated by this renderer
research-report.pdf,Research Report,Phone/tablet creative 3,Owned synthetic; generated by this renderer
product-catalogue.pdf,Product Catalogue,Phone/tablet creative 4,Owned synthetic with owned generated imagery
project-brief.pdf,Project Brief,Phone/tablet creative 6,Owned synthetic; generated by this renderer
budget-overview.pdf,Budget Overview,Phone/tablet creative 6,Owned synthetic; generated by this renderer
delivery-timeline.pdf,Delivery Timeline,Phone/tablet creative 6,Owned synthetic; generated by this renderer
contract-draft.pdf,Contract Draft,Phone/tablet creative 7,Owned synthetic; generated by this renderer
travel-itinerary.pdf,Travel Itinerary,Phone/tablet creative 8,Owned synthetic; generated by this renderer
architecture-collection.pdf,Architecture Collection,Phone/tablet creative 5,Owned synthetic with owned generated imagery
scanned-receipt.pdf,Scanned Receipt,Phone/tablet creative 2,Owned synthetic result from owned generated receipt
